ID;lookupID;Name;Set;Type;Quantity;Raw Price;PSA 10 Price;Raw Total
3471;pokemon-astral-radiance/combee-11;Combee;[English] Astral Radiance;Normal;1;0.91;27.5;0.91
3454;pokemon-astral-radiance/drifloon-63;Drifloon;[English] Astral Radiance;Normal;1;0.79;49.04;0.79
1931;pokemon-astral-radiance/gardenia's-vigor-143;Gardenia's Vigor;[English] Astral Radiance;Normal;1;1.02;27.95;1.02
2619;pokemon-astral-radiance/jirachi-v-170;Jirachi V;[English] Astral Radiance;Normal;1;9.6;102.47;9.6
240;pokemon-astral-radiance/ralts-60;Ralts;[English] Astral Radiance;Normal;1;1.16;19.99;1.16
778;pokemon-astral-radiance/regirock-75;Regirock;[English] Astral Radiance;Normal;1;1.14;28.35;1.14
1209;pokemon-astral-radiance/sudowoodo-74;Sudowoodo;[English] Astral Radiance;Normal;1;1.07;28.1;1.07
2955;pokemon-astral-radiance/temple-of-sinnoh-155;Temple of Sinnoh;[English] Astral Radiance;Normal;1;1.42;29.43;1.42
1966;pokemon-astral-radiance/whiscash-36;Whiscash;[English] Astral Radiance;Normal;1;0.95;39.99;0.95
1309;pokemon-astral-radiance/yanma-6;Yanma;[English] Astral Radiance;Normal;1;1.47;0.0;1.47
108;pokemon-black-bolt/crustle-poke-ball-52;Crustle [Poke Ball];[English] Black Bolt;Normal;1;1.58;0.0;1.58
2050;pokemon-black-bolt/cubchoo-poke-ball-25;Cubchoo [Poke Ball];[English] Black Bolt;Normal;1;1.44;30.84;1.44
114;pokemon-black-bolt/haxorus-poke-ball-70;Haxorus [Poke Ball];[English] Black Bolt;Normal;1;1.75;31.77;1.75
948;pokemon-black-bolt/munna-poke-ball-35;Munna [Poke Ball];[English] Black Bolt;Normal;1;1.74;32.52;1.74
3480;pokemon-black-bolt/n's-plan-poke-ball-83;N's Plan [Poke Ball];[English] Black Bolt;Normal;1;1.9;33.3;1.9
909;pokemon-black-bolt/palpitoad-poke-ball-20;Palpitoad [Poke Ball];[English] Black Bolt;Normal;1;1.08;27.63;1.08
3545;pokemon-black-bolt/pawniard-poke-ball-64;Pawniard [Poke Ball];[English] Black Bolt;Normal;1;1.39;29.82;1.39
1181;pokemon-black-bolt/servine-poke-ball-2;Servine [Poke Ball];[English] Black Bolt;Normal;1;1.38;30.34;1.38
1850;pokemon-black-bolt/simipour-master-ball-18;Simipour [Master Ball];[English] Black Bolt;Normal;1;4.4;45.48;4.4
1088;pokemon-brilliant-stars/barry-130;Barry;[English] Brilliant Stars;Normal;6;0.08;24.3;0.48
2313;pokemon-brilliant-stars/boss's-orders-reverse-holo-132;Boss's Orders;[English] Brilliant Stars;Reverse Holo;1;1.04;27.97;1.04
3681;pokemon-brilliant-stars/cafe-master-133;Cafe Master;[English] Brilliant Stars;Normal;1;0.26;24.18;0.26
1354;pokemon-brilliant-stars/castform-116;Castform;[English] Brilliant Stars;Normal;1;0.11;24.34;0.11
2989;pokemon-brilliant-stars/cherubi-12;Cherubi;[English] Brilliant Stars;Normal;1;0.14;24.42;0.14
1579;pokemon-brilliant-stars/chimchar-24;Chimchar;[English] Brilliant Stars;Normal;1;0.07;24.0;0.07
3101;pokemon-brilliant-stars/chimecho-63;Chimecho;[English] Brilliant Stars;Normal;1;0.07;24.3;0.07
2448;pokemon-brilliant-stars/choice-belt-135;Choice Belt;[English] Brilliant Stars;Normal;1;0.09;24.52;0.09
1303;pokemon-brilliant-stars/claydol-59;Claydol;[English] Brilliant Stars;Normal;1;0.03;24.22;0.03
879;pokemon-brilliant-stars/cleansing-gloves-reverse-holo-136;Cleansing Gloves;[English] Brilliant Stars;Reverse Holo;1;0.16;24.61;0.16
59;pokemon-brilliant-stars/clefairy-53;Clefairy;[English] Brilliant Stars;Normal;4;0.04;24.27;0.16
1225;pokemon-brilliant-stars/corphish-32;Corphish;[English] Brilliant Stars;Normal;2;0.11;24.4;0.22
610;pokemon-brilliant-stars/cubchoo-42;Cubchoo;[English] Brilliant Stars;Normal;2;0.1;24.7;0.2
1692;pokemon-brilliant-stars/dedenne-67;Dedenne;[English] Brilliant Stars;Normal;2;0.12;24.79;0.24
191;pokemon-brilliant-stars/dusknoir-62;Dusknoir;[English] Brilliant Stars;Normal;2;0.14;32.61;0.28
868;pokemon-brilliant-stars/duskull-60;Duskull;[English] Brilliant Stars;Normal;4;0.09;24.61;0.36
759;pokemon-brilliant-stars/electabuzz-reverse-holo-46;Electabuzz;[English] Brilliant Stars;Reverse Holo;1;0.34;27.9;0.34
970;pokemon-brilliant-stars/escavalier-reverse-holo-101;Escavalier;[English] Brilliant Stars;Reverse Holo;1;0.35;25.34;0.35
911;pokemon-brilliant-stars/exeggcute-1;Exeggcute;[English] Brilliant Stars;Normal;1;0.06;24.3;0.06
494;pokemon-brilliant-stars/farfetch'd-115;Farfetch'd;[English] Brilliant Stars;Normal;4;0.12;32.0;0.48
3364;pokemon-brilliant-stars/floatzel-39;Floatzel;[English] Brilliant Stars;Normal;1;0.04;24.24;0.04
2613;pokemon-brilliant-stars/fraxure-111;Fraxure;[English] Brilliant Stars;Normal;2;0.06;24.55;0.12
697;pokemon-brilliant-stars/fresh-water-set-139;Fresh Water Set;[English] Brilliant Stars;Normal;3;0.06;24.3;0.18
2946;pokemon-brilliant-stars/garchomp-109;Garchomp;[English] Brilliant Stars;Normal;1;0.25;21.06;0.25
457;pokemon-brilliant-stars/gible-107;Gible;[English] Brilliant Stars;Normal;1;0.14;24.64;0.14
676;pokemon-brilliant-stars/gloria-141;Gloria;[English] Brilliant Stars;Normal;2;0.08;24.58;0.16
3248;pokemon-brilliant-stars/golett-82;Golett;[English] Brilliant Stars;Normal;1;0.05;24.25;0.05
1134;pokemon-brilliant-stars/grimer-84;Grimer;[English] Brilliant Stars;Normal;5;0.08;24.22;0.4
2860;pokemon-brilliant-stars/grotle-7;Grotle;[English] Brilliant Stars;Normal;1;0.14;24.64;0.14
2338;pokemon-brilliant-stars/grotle-reverse-holo-7;Grotle;[English] Brilliant Stars;Reverse Holo;1;0.96;27.66;0.96
3301;pokemon-brilliant-stars/heatran-100;Heatran;[English] Brilliant Stars;Normal;2;0.12;24.52;0.24
2822;pokemon-brilliant-stars/karrablast-15;Karrablast;[English] Brilliant Stars;Normal;2;0.06;24.4;0.12
3503;pokemon-brilliant-stars/kindler-170;Kindler;[English] Brilliant Stars;Normal;1;0.89;23.48;0.89
1410;pokemon-brilliant-stars/klinklang-reverse-holo-104;Klinklang;[English] Brilliant Stars;Reverse Holo;1;0.16;24.61;0.16
209;pokemon-brilliant-stars/luxio-50;Luxio;[English] Brilliant Stars;Normal;1;0.07;24.18;0.07
1577;pokemon-brilliant-stars/marnie's-pride-145;Marnie's Pride;[English] Brilliant Stars;Normal;3;0.12;24.7;0.36
2589;pokemon-brilliant-stars/minccino-reverse-holo-124;Minccino;[English] Brilliant Stars;Reverse Holo;1;1.11;28.24;1.11
