id,lookupid,set number,Availability
1,pokemon-japanese-black-bolt/air-balloon-82,82,
2,pokemon-japanese-black-bolt/air-balloon-master-ball-82,82,
3,pokemon-japanese-black-bolt/air-balloon-poke-ball-82,82,
4,pokemon-japanese-black-bolt/alomomola-112,112,
5,pokemon-japanese-black-bolt/alomomola-27,27,
6,pokemon-japanese-black-bolt/alomomola-master-ball-27,27,
7,pokemon-japanese-black-bolt/alomomola-poke-ball-27,27,
8,pokemon-japanese-black-bolt/amoonguss-11,11,
9,pokemon-japanese-black-bolt/amoonguss-96,96,
10,pokemon-japanese-black-bolt/amoonguss-master-ball-11,11,
11,pokemon-japanese-black-bolt/amoonguss-poke-ball-11,11,
12,pokemon-japanese-black-bolt/antique-cover-fossil-80,80,
13,pokemon-japanese-black-bolt/antique-cover-fossil-master-ball-80,80,
14,pokemon-japanese-black-bolt/antique-cover-fossil-poke-ball-80,80,
15,pokemon-japanese-black-bolt/audino-156,156,
16,pokemon-japanese-black-bolt/audino-76,76,
17,pokemon-japanese-black-bolt/audino-master-ball-76,76,
18,pokemon-japanese-black-bolt/audino-poke-ball-76,76,
19,pokemon-japanese-black-bolt/axew-150,150,
20,pokemon-japanese-black-bolt/axew-70,70,
21,pokemon-japanese-black-bolt/axew-master-ball-70,70,
22,pokemon-japanese-black-bolt/axew-poke-ball-70,70,
23,pokemon-japanese-black-bolt/beartic-114,114,
24,pokemon-japanese-black-bolt/beartic-29,29,
25,pokemon-japanese-black-bolt/beartic-master-ball-29,29,
26,pokemon-japanese-black-bolt/beartic-poke-ball-29,29,
27,pokemon-japanese-black-bolt/beheeyem-127,127,
28,pokemon-japanese-black-bolt/beheeyem-44,44,
29,pokemon-japanese-black-bolt/beheeyem-master-ball-44,44,
30,pokemon-japanese-black-bolt/beheeyem-poke-ball-44,44,
31,pokemon-japanese-black-bolt/bisharp-148,148,
32,pokemon-japanese-black-bolt/bisharp-67,67,
33,pokemon-japanese-black-bolt/bisharp-master-ball-67,67,
34,pokemon-japanese-black-bolt/bisharp-poke-ball-67,67,
35,pokemon-japanese-black-bolt/carracosta-111,111,
36,pokemon-japanese-black-bolt/carracosta-26,26,
37,pokemon-japanese-black-bolt/carracosta-master-ball-26,26,
38,pokemon-japanese-black-bolt/carracosta-poke-ball-26,26,
39,pokemon-japanese-black-bolt/chandelure-102,102,
40,pokemon-japanese-black-bolt/chandelure-17,17,
41,pokemon-japanese-black-bolt/chandelure-master-ball-17,17,
42,pokemon-japanese-black-bolt/chandelure-poke-ball-17,17,
43,pokemon-japanese-black-bolt/cinccino-158,158,
44,pokemon-japanese-black-bolt/cinccino-78,78,
45,pokemon-japanese-black-bolt/cinccino-master-ball-78,78,
46,pokemon-japanese-black-bolt/cinccino-poke-ball-78,78,
47,pokemon-japanese-black-bolt/cobalion-149,149,
48,pokemon-japanese-black-bolt/cobalion-68,68,
49,pokemon-japanese-black-bolt/cobalion-master-ball-68,68,
50,pokemon-japanese-black-bolt/cobalion-poke-ball-68,68,
51,pokemon-japanese-black-bolt/conkeldurr-133,133,
52,pokemon-japanese-black-bolt/conkeldurr-52,52,
53,pokemon-japanese-black-bolt/conkeldurr-master-ball-52,52,
54,pokemon-japanese-black-bolt/conkeldurr-poke-ball-52,52,
55,pokemon-japanese-black-bolt/crustle-136,136,
56,pokemon-japanese-black-bolt/crustle-55,55,
57,pokemon-japanese-black-bolt/crustle-master-ball-55,55,
58,pokemon-japanese-black-bolt/crustle-poke-ball-55,55,
59,pokemon-japanese-black-bolt/cryogonal-115,115,
60,pokemon-japanese-black-bolt/cryogonal-30,30,
61,pokemon-japanese-black-bolt/cryogonal-master-ball-30,30,
62,pokemon-japanese-black-bolt/cryogonal-poke-ball-30,30,
63,pokemon-japanese-black-bolt/cubchoo-113,113,
64,pokemon-japanese-black-bolt/cubchoo-28,28,
