id,lookupid,set number,Availability
1,pokemon-japanese-glory-of-team-rocket/abomasnow-27,27,
2,pokemon-japanese-glory-of-team-rocket/annihilape-47,47,
3,pokemon-japanese-glory-of-team-rocket/arboliva-ex-111,111,
4,pokemon-japanese-glory-of-team-rocket/arboliva-ex-12,12,
5,pokemon-japanese-glory-of-team-rocket/arcanine-14,14,
6,pokemon-japanese-glory-of-team-rocket/arrokuda-29,29,
7,pokemon-japanese-glory-of-team-rocket/barraskewda-30,30,
8,pokemon-japanese-glory-of-team-rocket/blaziken-101,101,
9,pokemon-japanese-glory-of-team-rocket/blaziken-20,20,
10,pokemon-japanese-glory-of-team-rocket/breloom-3,3,
11,pokemon-japanese-glory-of-team-rocket/cetitan-ex-113,113,
12,pokemon-japanese-glory-of-team-rocket/cetitan-ex-32,32,
13,pokemon-japanese-glory-of-team-rocket/cetoddle-31,31,
14,pokemon-japanese-glory-of-team-rocket/clampearl-102,102,
15,pokemon-japanese-glory-of-team-rocket/clampearl-23,23,
16,pokemon-japanese-glory-of-team-rocket/combusken-19,19,
17,pokemon-japanese-glory-of-team-rocket/dolliv-11,11,
18,pokemon-japanese-glory-of-team-rocket/fomantis-5,5,
19,pokemon-japanese-glory-of-team-rocket/forretress-73,73,
20,pokemon-japanese-glory-of-team-rocket/gorebyss-25,25,
21,pokemon-japanese-glory-of-team-rocket/growlithe-13,13,
22,pokemon-japanese-glory-of-team-rocket/heat-rotom-21,21,
23,pokemon-japanese-glory-of-team-rocket/huntail-24,24,
24,pokemon-japanese-glory-of-team-rocket/jamming-tower-132,132,
25,pokemon-japanese-glory-of-team-rocket/kangaskhan-110,110,
26,pokemon-japanese-glory-of-team-rocket/kangaskhan-80,80,
27,pokemon-japanese-glory-of-team-rocket/lurantis-6,6,
28,pokemon-japanese-glory-of-team-rocket/mankey-45,45,
29,pokemon-japanese-glory-of-team-rocket/medicham-54,54,
30,pokemon-japanese-glory-of-team-rocket/meditite-53,53,
31,pokemon-japanese-glory-of-team-rocket/mow-rotom-4,4,
32,pokemon-japanese-glory-of-team-rocket/nosepass-51,51,
