id,lookupid,set number,Availability
1,pokemon-japanese-mega-brave/air-balloon-84,,
2,pokemon-japanese-mega-brave/booster-box,,
3,pokemon-japanese-mega-brave/booster-pack,,
4,pokemon-japanese-mega-brave/bulbasaur-1,,
5,pokemon-japanese-mega-brave/bulbasaur-64,,
6,pokemon-japanese-mega-brave/celebi-6,,
7,pokemon-japanese-mega-brave/cinderace-17,,
8,pokemon-japanese-mega-brave/corphish-18,,
9,pokemon-japanese-mega-brave/crawdaunt-37,,
10,pokemon-japanese-mega-brave/croagunk-30,,
11,pokemon-japanese-mega-brave/dangerous-ruins-63,,
12,pokemon-japanese-mega-brave/dialga-47,,
13,pokemon-japanese-mega-brave/exeggcute-4,,
14,pokemon-japanese-mega-brave/exeggutor-5,,
15,pokemon-japanese-mega-brave/exeggutor-66,,
16,pokemon-japanese-mega-brave/fearow-53,,
17,pokemon-japanese-mega-brave/fight-gong-59,,
18,pokemon-japanese-mega-brave/fight-gong-82,,
19,pokemon-japanese-mega-brave/garganacl-36,,
20,pokemon-japanese-mega-brave/garganacl-70,,
21,pokemon-japanese-mega-brave/gholdengo-51,,
22,pokemon-japanese-mega-brave/gimmighoul-19,,
23,pokemon-japanese-mega-brave/grafaiai-44,,
24,pokemon-japanese-mega-brave/gumshoos-56,,
25,pokemon-japanese-mega-brave/gumshoos-75,,
26,pokemon-japanese-mega-brave/hariyama-25,,
27,pokemon-japanese-mega-brave/iron-x-defense-57,,
28,pokemon-japanese-mega-brave/ivysaur-2,,
29,pokemon-japanese-mega-brave/ivysaur-65,,
30,pokemon-japanese-mega-brave/lillie's-determination-62,,
31,pokemon-japanese-mega-brave/lillie's-determination-86,,
32,pokemon-japanese-mega-brave/lillie's-determination-91,,
33,pokemon-japanese-mega-brave/lt-surge's-deal-61,,
34,pokemon-japanese-mega-brave/lt-surge's-deal-85,,
35,pokemon-japanese-mega-brave/lt-surge's-deal-90,,
36,pokemon-japanese-mega-brave/lunatone-26,,
37,pokemon-japanese-mega-brave/makuhita-24,,
38,pokemon-japanese-mega-brave/marshadow-32,,
39,pokemon-japanese-mega-brave/marshadow-69,,
40,pokemon-japanese-mega-brave/mega-absol-ex-38,,
41,pokemon-japanese-mega-brave/mega-absol-ex-79,,
42,pokemon-japanese-mega-brave/mega-absol-ex-89,,
43,pokemon-japanese-mega-brave/mega-camerupt-ex-13,,
44,pokemon-japanese-mega-brave/mega-camerupt-ex-77,,
45,pokemon-japanese-mega-brave/mega-lucario-ex-29,,
46,pokemon-japanese-mega-brave/mega-lucario-ex-78,,
47,pokemon-japanese-mega-brave/mega-lucario-ex-88,,
48,pokemon-japanese-mega-brave/mega-lucario-ex-92,,
49,pokemon-japanese-mega-brave/mega-mawile-ex-46,,
50,pokemon-japanese-mega-brave/mega-mawile-ex-80,,
51,pokemon-japanese-mega-brave/mega-venusaur-ex-3,,
52,pokemon-japanese-mega-brave/mega-venusaur-ex-76,,
53,pokemon-japanese-mega-brave/mega-venusaur-ex-87,,
54,pokemon-japanese-mega-brave/miltank-54,,
55,pokemon-japanese-mega-brave/nacli-34,,
56,pokemon-japanese-mega-brave/naclstack-35,,
57,pokemon-japanese-mega-brave/nickit-41,,
58,pokemon-japanese-mega-brave/night-stretcher-83,,
59,pokemon-japanese-mega-brave/ninetales-11,,
60,pokemon-japanese-mega-brave/numel-12,,
61,pokemon-japanese-mega-brave/nuzleaf-8,,
62,pokemon-japanese-mega-brave/onix-22,,
63,pokemon-japanese-mega-brave/pokemon-center-set,,
64,pokemon-japanese-mega-brave/premium-power-pro-58,,
65,pokemon-japanese-mega-brave/premium-power-pro-81,,
66,pokemon-japanese-mega-brave/premium-trainer-box-mega,,
67,pokemon-japanese-mega-brave/raboot-16,,
68,pokemon-japanese-mega-brave/repel-60,,
69,pokemon-japanese-mega-brave/riolu-28,,
70,pokemon-japanese-mega-brave/riolu-68,,
71,pokemon-japanese-mega-brave/sandshrew-20,,
72,pokemon-japanese-mega-brave/sandslash-21,,
73,pokemon-japanese-mega-brave/scorbunny-15,,
74,pokemon-japanese-mega-brave/seedot-7,,
75,pokemon-japanese-mega-brave/shiftry-9,,
76,pokemon-japanese-mega-brave/shroodle-43,,
77,pokemon-japanese-mega-brave/shroodle-72,,
78,pokemon-japanese-mega-brave/solrock-27,,
79,pokemon-japanese-mega-brave/spearow-52,,
80,pokemon-japanese-mega-brave/spearow-74,,
81,pokemon-japanese-mega-brave/spiritomb-39,,
82,pokemon-japanese-mega-brave/spiritomb-71,,
83,pokemon-japanese-mega-brave/steelix-45,,
84,pokemon-japanese-mega-brave/steelix-73,,
85,pokemon-japanese-mega-brave/stonjourner-33,,
86,pokemon-japanese-mega-brave/thievul-42,,
87,pokemon-japanese-mega-brave/tinkatink-48,,
88,pokemon-japanese-mega-brave/tinkaton-50,,
89,pokemon-japanese-mega-brave/tinkatuff-49,,
90,pokemon-japanese-mega-brave/toxicroak-31,,
91,pokemon-japanese-mega-brave/tyrogue-23,,
92,pokemon-japanese-mega-brave/volcanion-14,,
93,pokemon-japanese-mega-brave/vulpix-10,,
94,pokemon-japanese-mega-brave/vulpix-67,,
95,pokemon-japanese-mega-brave/yungoos-55,,
96,pokemon-japanese-mega-brave/yveltal-40,,
