id,lookupid,set number,Availability
1,pokemon-japanese-mega-symphonia/abra-36,,
2,pokemon-japanese-mega-symphonia/acerola's-mischief-59,,
3,pokemon-japanese-mega-symphonia/acerola's-mischief-84,,
4,pokemon-japanese-mega-symphonia/acerola's-mischief-90,,
5,pokemon-japanese-mega-symphonia/alakazam-38,,
6,pokemon-japanese-mega-symphonia/alakazam-71,,
7,pokemon-japanese-mega-symphonia/bayleef-4,,
8,pokemon-japanese-mega-symphonia/bewear-56,,
9,pokemon-japanese-mega-symphonia/booster-box,,
10,pokemon-japanese-mega-symphonia/booster-pack,,
11,pokemon-japanese-mega-symphonia/buddy-buddy-poffin-81,,
12,pokemon-japanese-mega-symphonia/buneary-53,,
13,pokemon-japanese-mega-symphonia/centiskorch-13,,
14,pokemon-japanese-mega-symphonia/chi-yu-14,,
15,pokemon-japanese-mega-symphonia/chikorita-3,,
16,pokemon-japanese-mega-symphonia/clauncher-19,,
17,pokemon-japanese-mega-symphonia/clawitzer-20,,
18,pokemon-japanese-mega-symphonia/clawitzer-68,,
19,pokemon-japanese-mega-symphonia/delibird-52,,
20,pokemon-japanese-mega-symphonia/delibird-74,,
21,pokemon-japanese-mega-symphonia/dhelmise-9,,
22,pokemon-japanese-mega-symphonia/drizzile-22,,
23,pokemon-japanese-mega-symphonia/eiscue-26,,
24,pokemon-japanese-mega-symphonia/electrike-31,,
25,pokemon-japanese-mega-symphonia/frosmoth-25,,
26,pokemon-japanese-mega-symphonia/greavard-47,,
27,pokemon-japanese-mega-symphonia/grumpig-45,,
28,pokemon-japanese-mega-symphonia/heliolisk-35,,
29,pokemon-japanese-mega-symphonia/helioptile-34,,
30,pokemon-japanese-mega-symphonia/helioptile-70,,
31,pokemon-japanese-mega-symphonia/houndstone-48,,
32,pokemon-japanese-mega-symphonia/houndstone-73,,
33,pokemon-japanese-mega-symphonia/inteleon-23,,
34,pokemon-japanese-mega-symphonia/inteleon-69,,
35,pokemon-japanese-mega-symphonia/jynx-39,,
36,pokemon-japanese-mega-symphonia/kadabra-37,,
37,pokemon-japanese-mega-symphonia/kirlia-41,,
38,pokemon-japanese-mega-symphonia/kyogre-16,,
39,pokemon-japanese-mega-symphonia/latios-50,,
40,pokemon-japanese-mega-symphonia/litleo-10,,
41,pokemon-japanese-mega-symphonia/litleo-66,,
42,pokemon-japanese-mega-symphonia/lopunny-54,,
43,pokemon-japanese-mega-symphonia/magnemite-27,,
44,pokemon-japanese-mega-symphonia/magneton-28,,
45,pokemon-japanese-mega-symphonia/magnezone-29,,
46,pokemon-japanese-mega-symphonia/mantine-15,,
47,pokemon-japanese-mega-symphonia/mega-abomasnow-ex-18,,
48,pokemon-japanese-mega-symphonia/mega-abomasnow-ex-76,,
49,pokemon-japanese-mega-symphonia/mega-gardevoir-ex-42,,
50,pokemon-japanese-mega-symphonia/mega-gardevoir-ex-78,,
51,pokemon-japanese-mega-symphonia/mega-gardevoir-ex-87,,
52,pokemon-japanese-mega-symphonia/mega-gardevoir-ex-92,,
53,pokemon-japanese-mega-symphonia/mega-kangaskhan-ex-51,,
54,pokemon-japanese-mega-symphonia/mega-kangaskhan-ex-80,,
55,pokemon-japanese-mega-symphonia/mega-kangaskhan-ex-89,,
56,pokemon-japanese-mega-symphonia/mega-latias-ex-49,,
57,pokemon-japanese-mega-symphonia/mega-latias-ex-79,,
58,pokemon-japanese-mega-symphonia/mega-latias-ex-88,,
59,pokemon-japanese-mega-symphonia/mega-manectric-ex-32,,
60,pokemon-japanese-mega-symphonia/mega-manectric-ex-77,,
61,pokemon-japanese-mega-symphonia/mega-signal-58,,
62,pokemon-japanese-mega-symphonia/mega-signal-83,,
63,pokemon-japanese-mega-symphonia/meganium-5,,
64,pokemon-japanese-mega-symphonia/mystery-garden-63,,
65,pokemon-japanese-mega-symphonia/mystery-garden-86,,
66,pokemon-japanese-mega-symphonia/nincada-7,,
67,pokemon-japanese-mega-symphonia/ninjask-65,,
68,pokemon-japanese-mega-symphonia/ninjask-8,,
69,pokemon-japanese-mega-symphonia/pachirisu-33,,
70,pokemon-japanese-mega-symphonia/pokemon-center-set,,
71,pokemon-japanese-mega-symphonia/pyroar-11,,
72,pokemon-japanese-mega-symphonia/raikou-30,,
73,pokemon-japanese-mega-symphonia/ralts-40,,
74,pokemon-japanese-mega-symphonia/rare-candy-82,,
75,pokemon-japanese-mega-symphonia/shedinja-43,,
76,pokemon-japanese-mega-symphonia/shedinja-72,,
77,pokemon-japanese-mega-symphonia/shuckle-6,,
78,pokemon-japanese-mega-symphonia/shuckle-64,,
79,pokemon-japanese-mega-symphonia/sizzlipede-12,,
80,pokemon-japanese-mega-symphonia/snom-24,,
81,pokemon-japanese-mega-symphonia/snover-17,,
82,pokemon-japanese-mega-symphonia/snover-67,,
83,pokemon-japanese-mega-symphonia/sobble-21,,
84,pokemon-japanese-mega-symphonia/spoink-44,,
85,pokemon-japanese-mega-symphonia/stufful-55,,
86,pokemon-japanese-mega-symphonia/stufful-75,,
87,pokemon-japanese-mega-symphonia/surfing-beach-62,,
88,pokemon-japanese-mega-symphonia/suspicious-watch-57,,
89,pokemon-japanese-mega-symphonia/tangela-1,,
90,pokemon-japanese-mega-symphonia/tangrowth-2,,
91,pokemon-japanese-mega-symphonia/vitality-forest-61,,
92,pokemon-japanese-mega-symphonia/wally's-compassion-60,,
93,pokemon-japanese-mega-symphonia/wally's-compassion-85,,
94,pokemon-japanese-mega-symphonia/wally's-compassion-91,,
95,pokemon-japanese-mega-symphonia/xerneas-46,,
