id,lookupid,set number,Availability
1,pokemon-japanese-stellar-miracle/alcremie-44,44,
2,pokemon-japanese-stellar-miracle/antique-root-fossil-90,90,
3,pokemon-japanese-stellar-miracle/applin-10,10,
4,pokemon-japanese-stellar-miracle/archaludon-113,113,
5,pokemon-japanese-stellar-miracle/archaludon-73,73,
6,pokemon-japanese-stellar-miracle/area-zero-underdepths-102,102,
7,pokemon-japanese-stellar-miracle/area-zero-underdepths-135,135,
8,pokemon-japanese-stellar-miracle/bouffalant-81,81,
9,pokemon-japanese-stellar-miracle/bravery-charm-134,134,
10,pokemon-japanese-stellar-miracle/briar-100,100,
11,pokemon-japanese-stellar-miracle/briar-126,126,
12,pokemon-japanese-stellar-miracle/briar-132,132,
13,pokemon-japanese-stellar-miracle/carnivine-5,5,
14,pokemon-japanese-stellar-miracle/carracosta-23,23,
15,pokemon-japanese-stellar-miracle/charjabug-34,34,
16,pokemon-japanese-stellar-miracle/chewtle-25,25,
17,pokemon-japanese-stellar-miracle/chinchou-30,30,
18,pokemon-japanese-stellar-miracle/cinderace-ex-116,116,
19,pokemon-japanese-stellar-miracle/cinderace-ex-18,18,
20,pokemon-japanese-stellar-miracle/comfey-42,42,
21,pokemon-japanese-stellar-miracle/cover-fossil-91,91,
22,pokemon-japanese-stellar-miracle/crabominable-107,107,
23,pokemon-japanese-stellar-miracle/crabominable-24,24,
24,pokemon-japanese-stellar-miracle/crabrawler-59,59,
25,pokemon-japanese-stellar-miracle/cradily-4,4,
26,pokemon-japanese-stellar-miracle/crispin-123,123,
27,pokemon-japanese-stellar-miracle/crispin-97,97,
28,pokemon-japanese-stellar-miracle/cubone-48,48,
29,pokemon-japanese-stellar-miracle/dachsbun-ex-119,119,
30,pokemon-japanese-stellar-miracle/dachsbun-ex-129,129,
31,pokemon-japanese-stellar-miracle/dachsbun-ex-46,46,
32,pokemon-japanese-stellar-miracle/deluxe-bomb-96,96,
33,pokemon-japanese-stellar-miracle/diancie-58,58,
34,pokemon-japanese-stellar-miracle/dipplin-11,11,
35,pokemon-japanese-stellar-miracle/dreadnaw-26,26,
36,pokemon-japanese-stellar-miracle/drifblim-41,41,
37,pokemon-japanese-stellar-miracle/drifloon-40,40,
38,pokemon-japanese-stellar-miracle/dubwool-87,87,
39,pokemon-japanese-stellar-miracle/duraludon-72,72,
40,pokemon-japanese-stellar-miracle/eldegoss-9,9,
41,pokemon-japanese-stellar-miracle/electabuzz-28,28,
42,pokemon-japanese-stellar-miracle/electivire-29,29,
43,pokemon-japanese-stellar-miracle/falinks-60,60,
44,pokemon-japanese-stellar-miracle/fan-rotom-80,80,
45,pokemon-japanese-stellar-miracle/fidough-45,45,
46,pokemon-japanese-stellar-miracle/finneon-20,20,
47,pokemon-japanese-stellar-miracle/fletchinder-84,84,
48,pokemon-japanese-stellar-miracle/fletchling-83,83,
49,pokemon-japanese-stellar-miracle/galvantula-ex-118,118,
50,pokemon-japanese-stellar-miracle/galvantula-ex-128,128,
51,pokemon-japanese-stellar-miracle/galvantula-ex-33,33,
52,pokemon-japanese-stellar-miracle/glameow-78,78,
53,pokemon-japanese-stellar-miracle/glass-trumpet-89,89,
54,pokemon-japanese-stellar-miracle/glistening-crystal-94,94,
55,pokemon-japanese-stellar-miracle/gossifleur-8,8,
56,pokemon-japanese-stellar-miracle/gravity-stone-95,95,
57,pokemon-japanese-stellar-miracle/grimmsnarl-66,66,
58,pokemon-japanese-stellar-miracle/grubbin-7,7,
59,pokemon-japanese-stellar-miracle/gulpin-112,112,
60,pokemon-japanese-stellar-miracle/gulpin-61,61,
61,pokemon-japanese-stellar-miracle/hoothoot-76,76,
62,pokemon-japanese-stellar-miracle/hydrapple-ex-115,115,
63,pokemon-japanese-stellar-miracle/hydrapple-ex-12,12,
64,pokemon-japanese-stellar-miracle/hydrapple-ex-127,127,
65,pokemon-japanese-stellar-miracle/impidimp-64,64,
66,pokemon-japanese-stellar-miracle/iron-boulder-47,47,
67,pokemon-japanese-stellar-miracle/joltik-108,108,
68,pokemon-japanese-stellar-miracle/joltik-32,32,
69,pokemon-japanese-stellar-miracle/klang-68,68,
70,pokemon-japanese-stellar-miracle/kling-67,67,
71,pokemon-japanese-stellar-miracle/klingklang-69,69,
72,pokemon-japanese-stellar-miracle/kofu-125,125,
73,pokemon-japanese-stellar-miracle/kofu-99,99,
74,pokemon-japanese-stellar-miracle/lacey-124,124,
75,pokemon-japanese-stellar-miracle/lacey-131,131,
76,pokemon-japanese-stellar-miracle/lacey-98,98,
77,pokemon-japanese-stellar-miracle/lanturn-31,31,
78,pokemon-japanese-stellar-miracle/lapras-ex-117,117,
79,pokemon-japanese-stellar-miracle/lapras-ex-19,19,
80,pokemon-japanese-stellar-miracle/ledian-103,103,
81,pokemon-japanese-stellar-miracle/ledian-2,2,
82,pokemon-japanese-stellar-miracle/ledyba-1,1,
83,pokemon-japanese-stellar-miracle/lileep-104,104,
84,pokemon-japanese-stellar-miracle/lileep-3,3,
85,pokemon-japanese-stellar-miracle/lumineon-21,21,
86,pokemon-japanese-stellar-miracle/marowak-49,49,
87,pokemon-japanese-stellar-miracle/medicham-ex-120,120,
88,pokemon-japanese-stellar-miracle/medicham-ex-54,54,
89,pokemon-japanese-stellar-miracle/meditite-111,111,
90,pokemon-japanese-stellar-miracle/meditite-53,53,
91,pokemon-japanese-stellar-miracle/melmetal-71,71,
92,pokemon-japanese-stellar-miracle/meltan-70,70,
93,pokemon-japanese-stellar-miracle/mienfoo-55,55,
94,pokemon-japanese-stellar-miracle/mienshao-56,56,
95,pokemon-japanese-stellar-miracle/milcery-110,110,
96,pokemon-japanese-stellar-miracle/milcery-43,43,
97,pokemon-japanese-stellar-miracle/morgrem-65,65,
98,pokemon-japanese-stellar-miracle/mow-rotom-6,6,
99,pokemon-japanese-stellar-miracle/noctowl-114,114,
100,pokemon-japanese-stellar-miracle/noctowl-77,77,
101,pokemon-japanese-stellar-miracle/occa-berry-93,93,
102,pokemon-japanese-stellar-miracle/orthworm-ex-121,121,
103,pokemon-japanese-stellar-miracle/orthworm-ex-74,74,
104,pokemon-japanese-stellar-miracle/pancham-57,57,
105,pokemon-japanese-stellar-miracle/pangoro-63,63,
106,pokemon-japanese-stellar-miracle/payapa-berry-92,92,
107,pokemon-japanese-stellar-miracle/purugly-79,79,
108,pokemon-japanese-stellar-miracle/raboot-106,106,
109,pokemon-japanese-stellar-miracle/raboot-17,17,
110,pokemon-japanese-stellar-miracle/raging-bolt-75,75,
111,pokemon-japanese-stellar-miracle/rhydon-51,51,
112,pokemon-japanese-stellar-miracle/rhyhorn-50,50,
113,pokemon-japanese-stellar-miracle/rhyperior-52,52,
114,pokemon-japanese-stellar-miracle/salandit-13,13,
115,pokemon-japanese-stellar-miracle/salazzle-14,14,
116,pokemon-japanese-stellar-miracle/scorbunny-16,16,
117,pokemon-japanese-stellar-miracle/slowking-39,39,
118,pokemon-japanese-stellar-miracle/slowpoke-38,38,
119,pokemon-japanese-stellar-miracle/swalot-62,62,
