id,lookupid,set number,Availability
1,pokemon-japanese-black-bolt/air-balloon-82,,
2,pokemon-japanese-black-bolt/air-balloon-master-ball-82,,
3,pokemon-japanese-black-bolt/air-balloon-poke-ball-82,,
4,pokemon-japanese-black-bolt/alomomola-112,,
5,pokemon-japanese-black-bolt/alomomola-27,,
6,pokemon-japanese-black-bolt/alomomola-master-ball-27,,
7,pokemon-japanese-black-bolt/alomomola-poke-ball-27,,
8,pokemon-japanese-black-bolt/amoonguss-11,,
9,pokemon-japanese-black-bolt/amoonguss-96,,
10,pokemon-japanese-black-bolt/amoonguss-master-ball-11,,
11,pokemon-japanese-black-bolt/amoonguss-poke-ball-11,,
12,pokemon-japanese-black-bolt/antique-cover-fossil-80,,
13,pokemon-japanese-black-bolt/antique-cover-fossil-master-ball-80,,
14,pokemon-japanese-black-bolt/antique-cover-fossil-poke-ball-80,,
15,pokemon-japanese-black-bolt/audino-156,,
16,pokemon-japanese-black-bolt/audino-76,,
17,pokemon-japanese-black-bolt/audino-master-ball-76,,
18,pokemon-japanese-black-bolt/audino-poke-ball-76,,
19,pokemon-japanese-black-bolt/axew-150,,
20,pokemon-japanese-black-bolt/axew-70,,
21,pokemon-japanese-black-bolt/axew-master-ball-70,,
22,pokemon-japanese-black-bolt/axew-poke-ball-70,,
23,pokemon-japanese-black-bolt/beartic-114,,
24,pokemon-japanese-black-bolt/beartic-29,,
25,pokemon-japanese-black-bolt/beartic-master-ball-29,,
26,pokemon-japanese-black-bolt/beartic-poke-ball-29,,
27,pokemon-japanese-black-bolt/beheeyem-127,,
28,pokemon-japanese-black-bolt/beheeyem-44,,
29,pokemon-japanese-black-bolt/beheeyem-master-ball-44,,
30,pokemon-japanese-black-bolt/beheeyem-poke-ball-44,,
31,pokemon-japanese-black-bolt/bisharp-148,,
32,pokemon-japanese-black-bolt/bisharp-67,,
33,pokemon-japanese-black-bolt/bisharp-master-ball-67,,
34,pokemon-japanese-black-bolt/bisharp-poke-ball-67,,
35,pokemon-japanese-black-bolt/booster-box,,
36,pokemon-japanese-black-bolt/booster-pack,,
37,pokemon-japanese-black-bolt/carracosta-111,,
38,pokemon-japanese-black-bolt/carracosta-26,,
39,pokemon-japanese-black-bolt/carracosta-master-ball-26,,
40,pokemon-japanese-black-bolt/carracosta-poke-ball-26,,
41,pokemon-japanese-black-bolt/chandelure-102,,
42,pokemon-japanese-black-bolt/chandelure-17,,
43,pokemon-japanese-black-bolt/chandelure-master-ball-17,,
44,pokemon-japanese-black-bolt/chandelure-poke-ball-17,,
45,pokemon-japanese-black-bolt/cinccino-158,,
46,pokemon-japanese-black-bolt/cinccino-78,,
47,pokemon-japanese-black-bolt/cinccino-master-ball-78,,
48,pokemon-japanese-black-bolt/cinccino-poke-ball-78,,
49,pokemon-japanese-black-bolt/cobalion-149,,
50,pokemon-japanese-black-bolt/cobalion-68,,
51,pokemon-japanese-black-bolt/cobalion-master-ball-68,,
52,pokemon-japanese-black-bolt/cobalion-poke-ball-68,,
53,pokemon-japanese-black-bolt/conkeldurr-133,,
54,pokemon-japanese-black-bolt/conkeldurr-52,,
55,pokemon-japanese-black-bolt/conkeldurr-master-ball-52,,
56,pokemon-japanese-black-bolt/conkeldurr-poke-ball-52,,
57,pokemon-japanese-black-bolt/crustle-136,,
58,pokemon-japanese-black-bolt/crustle-55,,
59,pokemon-japanese-black-bolt/crustle-master-ball-55,,
60,pokemon-japanese-black-bolt/crustle-poke-ball-55,,
61,pokemon-japanese-black-bolt/cryogonal-115,,
62,pokemon-japanese-black-bolt/cryogonal-30,,
63,pokemon-japanese-black-bolt/cryogonal-master-ball-30,,
64,pokemon-japanese-black-bolt/cryogonal-poke-ball-30,,
65,pokemon-japanese-black-bolt/cubchoo-113,,
66,pokemon-japanese-black-bolt/cubchoo-28,,
67,pokemon-japanese-black-bolt/cubchoo-master-ball-28,,
68,pokemon-japanese-black-bolt/cubchoo-poke-ball-28,,
69,pokemon-japanese-black-bolt/darmanitan-14,,
70,pokemon-japanese-black-bolt/darmanitan-99,,
71,pokemon-japanese-black-bolt/darmanitan-master-ball-14,,
72,pokemon-japanese-black-bolt/darmanitan-poke-ball-14,,
73,pokemon-japanese-black-bolt/darumaka-13,,
74,pokemon-japanese-black-bolt/darumaka-98,,
75,pokemon-japanese-black-bolt/darumaka-master-ball-13,,
76,pokemon-japanese-black-bolt/darumaka-poke-ball-13,,
77,pokemon-japanese-black-bolt/deluxe-booster-box,,
78,pokemon-japanese-black-bolt/deluxe-booster-pack,,
79,pokemon-japanese-black-bolt/drilbur-130,,
80,pokemon-japanese-black-bolt/drilbur-48,,
81,pokemon-japanese-black-bolt/drilbur-master-ball-48,,
82,pokemon-japanese-black-bolt/drilbur-poke-ball-48,,
83,pokemon-japanese-black-bolt/duosion-124,,
84,pokemon-japanese-black-bolt/duosion-41,,
85,pokemon-japanese-black-bolt/duosion-master-ball-41,,
86,pokemon-japanese-black-bolt/duosion-poke-ball-41,,
87,pokemon-japanese-black-bolt/dwebble-135,,
88,pokemon-japanese-black-bolt/dwebble-54,,
89,pokemon-japanese-black-bolt/dwebble-master-ball-54,,
90,pokemon-japanese-black-bolt/dwebble-poke-ball-54,,
91,pokemon-japanese-black-bolt/eelektrik-118,,
92,pokemon-japanese-black-bolt/eelektrik-34,,
93,pokemon-japanese-black-bolt/eelektrik-master-ball-34,,
94,pokemon-japanese-black-bolt/eelektrik-poke-ball-34,,
95,pokemon-japanese-black-bolt/eelektross-119,,
96,pokemon-japanese-black-bolt/eelektross-35,,
97,pokemon-japanese-black-bolt/eelektross-master-ball-35,,
98,pokemon-japanese-black-bolt/eelektross-poke-ball-35,,
99,pokemon-japanese-black-bolt/elgyem-126,,
100,pokemon-japanese-black-bolt/elgyem-43,,
101,pokemon-japanese-black-bolt/elgyem-master-ball-43,,
102,pokemon-japanese-black-bolt/elgyem-poke-ball-43,,
103,pokemon-japanese-black-bolt/emolga-116,,
104,pokemon-japanese-black-bolt/emolga-32,,
105,pokemon-japanese-black-bolt/emolga-master-ball-32,,
106,pokemon-japanese-black-bolt/emolga-poke-ball-32,,
107,pokemon-japanese-black-bolt/energy-coin-79,,
108,pokemon-japanese-black-bolt/energy-coin-master-ball-79,,
109,pokemon-japanese-black-bolt/energy-coin-poke-ball-79,,
110,pokemon-japanese-black-bolt/escavalier-146,,
111,pokemon-japanese-black-bolt/escavalier-65,,
112,pokemon-japanese-black-bolt/escavalier-master-ball-65,,
113,pokemon-japanese-black-bolt/escavalier-poke-ball-65,,
114,pokemon-japanese-black-bolt/excadrill-ex-163,,
115,pokemon-japanese-black-bolt/excadrill-ex-171,,
116,pokemon-japanese-black-bolt/excadrill-ex-49,,
117,pokemon-japanese-black-bolt/fennel-166,,
118,pokemon-japanese-black-bolt/fennel-85,,
119,pokemon-japanese-black-bolt/fennel-master-ball-85,,
120,pokemon-japanese-black-bolt/fennel-poke-ball-85,,
121,pokemon-japanese-black-bolt/foongus-10,,
122,pokemon-japanese-black-bolt/foongus-95,,
123,pokemon-japanese-black-bolt/foongus-master-ball-10,,
124,pokemon-japanese-black-bolt/foongus-poke-ball-10,,
125,pokemon-japanese-black-bolt/fraxure-151,,
126,pokemon-japanese-black-bolt/fraxure-71,,
127,pokemon-japanese-black-bolt/fraxure-master-ball-71,,
128,pokemon-japanese-black-bolt/fraxure-poke-ball-71,,
129,pokemon-japanese-black-bolt/genesect-ex-164,,
130,pokemon-japanese-black-bolt/genesect-ex-172,,
131,pokemon-japanese-black-bolt/genesect-ex-69,,
132,pokemon-japanese-black-bolt/golett-128,,
133,pokemon-japanese-black-bolt/golett-45,,
134,pokemon-japanese-black-bolt/golett-master-ball-45,,
135,pokemon-japanese-black-bolt/golett-poke-ball-45,,
136,pokemon-japanese-black-bolt/golurk-129,,
137,pokemon-japanese-black-bolt/golurk-46,,
138,pokemon-japanese-black-bolt/golurk-master-ball-46,,
139,pokemon-japanese-black-bolt/golurk-poke-ball-46,,
140,pokemon-japanese-black-bolt/gurdurr-132,,
141,pokemon-japanese-black-bolt/gurdurr-51,,
142,pokemon-japanese-black-bolt/gurdurr-master-ball-51,,
143,pokemon-japanese-black-bolt/gurdurr-poke-ball-51,,
144,pokemon-japanese-black-bolt/haxorus-152,,
