id,lookupid,set number,Availability
1,pokemon-japanese-inferno-x/aipom-66,66,
2,pokemon-japanese-inferno-x/ambipom-67,67,
3,pokemon-japanese-inferno-x/ambipom-92,92,
4,pokemon-japanese-inferno-x/archaludon-63,63,
5,pokemon-japanese-inferno-x/battle-colosseum-108,108,
6,pokemon-japanese-inferno-x/battle-colosseum-79,79,
7,pokemon-japanese-inferno-x/boltund-31,31,
8,pokemon-japanese-inferno-x/brambleghast-41,41,
9,pokemon-japanese-inferno-x/bramblin-40,40,
10,pokemon-japanese-inferno-x/bronzong-60,60,
11,pokemon-japanese-inferno-x/bronzor-59,59,
12,pokemon-japanese-inferno-x/buneary-71,71,
13,pokemon-japanese-inferno-x/carvanha-50,50,
14,pokemon-japanese-inferno-x/ceruledge-20,20,
15,pokemon-japanese-inferno-x/charcadet-19,19,
16,pokemon-japanese-inferno-x/charcadet-83,83,
17,pokemon-japanese-inferno-x/charmander-11,11,
18,pokemon-japanese-inferno-x/charmeleon-12,12,
19,pokemon-japanese-inferno-x/cottonee-37,37,
20,pokemon-japanese-inferno-x/darmanitan-16,16,
21,pokemon-japanese-inferno-x/darumaka-15,15,
22,pokemon-japanese-inferno-x/dawn-106,106,
23,pokemon-japanese-inferno-x/dawn-115,115,
24,pokemon-japanese-inferno-x/dawn-77,77,
25,pokemon-japanese-inferno-x/dewgong-22,22,
26,pokemon-japanese-inferno-x/dewgong-84,84,
27,pokemon-japanese-inferno-x/dizzying-valley-80,80,
28,pokemon-japanese-inferno-x/duraludon-62,62,
29,pokemon-japanese-inferno-x/empoleon-ex-58,58,
30,pokemon-japanese-inferno-x/empoleon-ex-99,99,
31,pokemon-japanese-inferno-x/firebreather-107,107,
32,pokemon-japanese-inferno-x/firebreather-78,78,
33,pokemon-japanese-inferno-x/flygon-47,47,
34,pokemon-japanese-inferno-x/flygon-88,88,
35,pokemon-japanese-inferno-x/genesect-8,8,
36,pokemon-japanese-inferno-x/gligar-43,43,
37,pokemon-japanese-inferno-x/gliscor-44,44,
38,pokemon-japanese-inferno-x/gloom-2,2,
39,pokemon-japanese-inferno-x/grimsley's-one-move-105,105,
40,pokemon-japanese-inferno-x/grimsley's-one-move-76,76,
41,pokemon-japanese-inferno-x/heat-burner-101,101,
42,pokemon-japanese-inferno-x/heat-burner-74,74,
43,pokemon-japanese-inferno-x/ignition-energy-109,109,
44,pokemon-japanese-inferno-x/jigglypuff-64,64,
45,pokemon-japanese-inferno-x/jumbo-ice-cream-73,73,
46,pokemon-japanese-inferno-x/krokorok-54,54,
47,pokemon-japanese-inferno-x/krookodile-55,55,
48,pokemon-japanese-inferno-x/linoone-70,70,
49,pokemon-japanese-inferno-x/lokix-10,10,
50,pokemon-japanese-inferno-x/lombre-6,6,
51,pokemon-japanese-inferno-x/lotad-5,5,
52,pokemon-japanese-inferno-x/ludicolo-7,7,
53,pokemon-japanese-inferno-x/ludicolo-81,81,
54,pokemon-japanese-inferno-x/mamoswine-25,25,
55,pokemon-japanese-inferno-x/mega-charizard-x-ex-110,110,
56,pokemon-japanese-inferno-x/mega-charizard-x-ex-116,116,
57,pokemon-japanese-inferno-x/mega-charizard-x-ex-13,13,
58,pokemon-japanese-inferno-x/mega-charizard-x-ex-94,94,
59,pokemon-japanese-inferno-x/mega-heracross-ex-4,4,
60,pokemon-japanese-inferno-x/mega-heracross-ex-93,93,
61,pokemon-japanese-inferno-x/mega-lopunny-ex-100,100,
62,pokemon-japanese-inferno-x/mega-lopunny-ex-114,114,
63,pokemon-japanese-inferno-x/mega-lopunny-ex-72,72,
64,pokemon-japanese-inferno-x/mega-sharpedo-ex-113,113,
65,pokemon-japanese-inferno-x/mega-sharpedo-ex-51,51,
66,pokemon-japanese-inferno-x/mega-sharpedo-ex-98,98,
67,pokemon-japanese-inferno-x/misdreavus-35,35,
